Value,Disaggregation combinations using this value,Number of indicators
international_bank_for_reconstruction,2,2
international_monetary_fund,2,2
un_economic_social_council,4,2
un_general_assembly,4,2
un_security_council,4,2
world_trade_organization,4,2
