Indicator
#1-4-1
#11-6-1
#11-6-2
#2-2-1
#2-2-2
#3-1-2
#3-7-1
#3-7-2
#3-8-1
#4-2-1
#4-2-2
#5-3-1
#7-1-1
#7-1-2
#8-7-1
