Indicator
#1-4-1
#10-6-1
#11-2-1
#11-6-1
#12-4-1
#12-4-2
#12-5-1
#16-8-1
#16-a-1
#17-18-3
#2-3-1
#2-4-1
#4-1-1
#4-4-1
#4-5-1
#4-c-1
#6-2-1
#6-3-1
#7-1-2
#8-10-1
#9-1-2
#9-2-1
#9-3-1
#9-4-1
