Year,Units,Kategorija,Value
2008,procenat,slatkovodni,49.2
2009,procenat,slatkovodni,49.2
2010,procenat,slatkovodni,49.2
2011,procenat,slatkovodni,49.2
2012,procenat,slatkovodni,49.2
2013,procenat,slatkovodni,49.2
2014,procenat,slatkovodni,49.2
2015,procenat,slatkovodni,49.2
2016,procenat,slatkovodni,49.2
2017,procenat,slatkovodni,49.2
2018,procenat,slatkovodni,49.2
2019,procenat,slatkovodni,49.2
2020,procenat,slatkovodni,49.2
2021,procenat,slatkovodni,49.2
2022,procenat,slatkovodni,49.2
2008,procenat,kopneni,17.7
2009,procenat,kopneni,17.7
2010,procenat,kopneni,17.7
2011,procenat,kopneni,17.7
2012,procenat,kopneni,17.7
2013,procenat,kopneni,17.7
2014,procenat,kopneni,17.7
2015,procenat,kopneni,17.7
2016,procenat,kopneni,17.7
2017,procenat,kopneni,17.7
2018,procenat,kopneni,17.7
2019,procenat,kopneni,25.9
2020,procenat,kopneni,25.9
2021,procenat,kopneni,25.9
2022,procenat,kopneni,25.9
