Year,Units,Value
1885,miliona tona,446.0
1890,miliona tona,1337.0
1891,miliona tona,1560.0
1892,miliona tona,1727.0
1893,miliona tona,3064.0
1894,miliona tona,5849.0
1895,miliona tona,5849.0
1896,miliona tona,6518.0
1897,miliona tona,5069.0
1898,miliona tona,7688.0
1899,miliona tona,8969.0
1900,miliona tona,12144.0
1901,miliona tona,13258.0
1902,miliona tona,12423.0
1903,miliona tona,13481.0
1904,miliona tona,14373.0
1905,miliona tona,15598.0
1906,miliona tona,18662.0
1907,miliona tona,18996.0
1908,miliona tona,20445.0
1909,miliona tona,21002.0
1910,miliona tona,20779.0
1911,miliona tona,22506.0
1912,miliona tona,23063.0
1913,miliona tona,63340.0
1919,miliona tona,45402.0
1920,miliona tona,60276.0
1921,miliona tona,64175.004
1922,miliona tona,93255.0
1923,miliona tona,101722.0
1924,miliona tona,104285.0
1925,miliona tona,114479.0
1926,miliona tona,111471.0
1927,miliona tona,125955.0
1928,miliona tona,143057.0
1929,miliona tona,156037.0
1930,miliona tona,146846.0
1931,miliona tona,135704.0
1932,miliona tona,123727.0
1933,miliona tona,114479.0
1934,miliona tona,119159.0
1935,miliona tona,124730.0
1936,miliona tona,123003.0
1937,miliona tona,137041.0
1938,miliona tona,129798.99
1939,miliona tona,136205.0
1940,miliona tona,156650.0
1943,miliona tona,5738.0
1944,miliona tona,1393.0
1945,miliona tona,79161.0
1946,miliona tona,156427.0
1947,miliona tona,217650.0
1948,miliona tona,245337.0
1949,miliona tona,280266.0
1950,miliona tona,269235.0
1951,miliona tona,254863.0
1952,miliona tona,255921.0
1953,miliona tona,254139.0
1954,miliona tona,303161.0
1955,miliona tona,347171.0
1956,miliona tona,396918.0
1957,miliona tona,431011.0
1958,miliona tona,424771.0
1959,miliona tona,486941.0
1960,miliona tona,531897.0
1961,miliona tona,557523.0
1962,miliona tona,572118.0
1963,miliona tona,636461.0
1964,miliona tona,721081.0
1965,miliona tona,741915.0
1966,miliona tona,735175.0
1967,miliona tona,742584.0
1968,miliona tona,794225.0
1969,miliona tona,823472.0
1970,miliona tona,1076106.0
1971,miliona tona,1159779.0
1972,miliona tona,1087025.0
1973,miliona tona,1298547.0
1974,miliona tona,1304229.0
1975,miliona tona,1360884.0
1976,miliona tona,1404615.0
1977,miliona tona,1365953.0
1978,miliona tona,1526447.0
1979,miliona tona,1660313.0
1980,miliona tona,1632626.0
1981,miliona tona,1776798.0
1982,miliona tona,1632348.0
1983,miliona tona,1757746.0
1984,miliona tona,1853675.0
1985,miliona tona,1890887.0
1986,miliona tona,1974783.0
1987,miliona tona,1927989.0
1988,miliona tona,1989434.0
1989,miliona tona,1983362.0
1990,miliona tona,1962026.0
1991,miliona tona,1388069.0
1992,miliona tona,1483274.0
1993,miliona tona,1293620.0
1994,miliona tona,1256653.0
1995,miliona tona,1327336.0
1996,miliona tona,1552994.0
1997,miliona tona,1669797.0
1998,miliona tona,1757580.0
1999,miliona tona,1211858.0
2000,miliona tona,1520843.0
2001,miliona tona,1667268.0
2002,miliona tona,1766249.0
2003,miliona tona,1889193.0
2004,miliona tona,2041277.9
2005,miliona tona,1750836.0
2006,miliona tona,2062832.1
2007,miliona tona,2055504.1
2008,miliona tona,2605104.0
2009,miliona tona,1681776.0
2010,miliona tona,2421904.0
2011,miliona tona,2407248.0
2012,miliona tona,2213056.0
2013,miliona tona,2150768.0
2014,miliona tona,2106800.0
2015,miliona tona,2238704.0
2016,miliona tona,2015199.9
2017,miliona tona,2103136.0
2018,miliona tona,2399920.0
2019,miliona tona,2476864.0
2020,miliona tona,2407248.0
2021,miliona tona,2304752.0
2022,miliona tona,2292498.0
