Year,Units,Location,Category,Value
2018,percent,,household members with a handwashing room with water and soap or detergent,99.6
2018,percent,Roma settlements,household members with a handwashing room with water and soap or detergent,94.3
2018,percent,,household members using improved sanitation facilities that they do not share with others,96.0
2018,percent,Roma settlements,household members using improved sanitation facilities that they do not share with others,84.6
2018,percent,,household members who use improved sanitary facilities where it is not possible to release water into the common sewer where waste is not emptied,73.7
2018,percent,Roma settlements,household members who use improved sanitary facilities where it is not possible to release water into the common sewer where waste is not emptied,83.9
2018,percent,,"household members who use improved sanitary facilities where it is not possible to let water into the common sewer, but the waste is emptied",12.8
2018,percent,Roma settlements,"household members who use improved sanitary facilities where it is not possible to let water into the common sewer, but the waste is emptied",7.9
2006,percent,Urban,,19.61326
2006,percent,All area,,23.94933
2006,percent,Rural,,31.27029
2007,percent,All area,,26.26775
2007,percent,Urban,,22.71833
2007,percent,Rural,,32.34753
2008,percent,All area,,28.55996
2008,percent,Urban,,25.78911
2008,percent,Rural,,33.37529
2009,percent,All area,,30.826
2009,percent,Rural,,34.35324
2009,percent,Urban,,28.82535
2010,percent,All area,,33.06549
2010,percent,Rural,,35.28103
2010,percent,Urban,,31.8268
2011,percent,All area,,35.27822
2011,percent,Urban,,34.79323
2011,percent,Rural,,36.15833
2012,percent,Rural,,36.9848
2012,percent,Urban,,37.72438
2012,percent,All area,,37.46407
2013,percent,All area,,39.62295
2013,percent,Urban,,40.62
2013,percent,Rural,,37.7601
2014,percent,All area,,41.7548
2014,percent,Urban,,43.47985
2014,percent,Rural,,38.4839
2015,percent,All area,,43.85956
2015,percent,Urban,,46.30369
2015,percent,Rural,,39.15586
2016,percent,Urban,,49.09126
2016,percent,Rural,,39.77563
2016,percent,All area,,45.93708
2017,percent,All area,,47.98737
2017,percent,Urban,,51.84233
2017,percent,Rural,,40.3429
2018,percent,All area,,50.00739
2018,percent,Rural,,40.8573
2018,percent,Urban,,54.55237
2019,percent,Rural,,41.31852
2019,percent,Urban,,56.82465
2019,percent,All area,,51.73089
2020,percent,All area,,53.4151
2020,percent,Rural,,41.70282
2020,percent,Urban,,59.05743
2021,percent,Rural,,42.377
2021,percent,All area,,55.40115
2021,percent,Urban,,61.57929
2022,percent,Urban,,64.10116
2022,percent,Rural,,43.05118
2022,percent,All area,,57.39968
