Year,Units,Value
2012,miliona dolara,107.42
2013,miliona dolara,115.31
2014,miliona dolara,98.99
2015,miliona dolara,115.46
2016,miliona dolara,98.25
2017,miliona dolara,132.22
2018,miliona dolara,165.84
2019,miliona dolara,105.74
2020,miliona dolara,217.75
2021,miliona dolara,131.71
