Year,Units,Category,Value
2008,%,freshwater,49.2
2009,%,freshwater,49.2
2010,%,freshwater,49.2
2011,%,freshwater,49.2
2012,%,freshwater,49.2
2013,%,freshwater,49.2
2014,%,freshwater,49.2
2015,%,freshwater,49.2
2016,%,freshwater,49.2
2017,%,freshwater,49.2
2018,%,freshwater,49.2
2019,%,freshwater,49.2
2020,%,freshwater,49.2
2021,%,freshwater,49.2
2022,%,freshwater,49.2
2008,%,terrestrial,17.7
2009,%,terrestrial,17.7
2010,%,terrestrial,17.7
2011,%,terrestrial,17.7
2012,%,terrestrial,17.7
2013,%,terrestrial,17.7
2014,%,terrestrial,17.7
2015,%,terrestrial,17.7
2016,%,terrestrial,17.7
2017,%,terrestrial,17.7
2018,%,terrestrial,17.7
2019,%,terrestrial,25.9
2020,%,terrestrial,25.9
2021,%,terrestrial,25.9
2022,%,terrestrial,25.9
