Year,Units,Category,Value
2008,percent,managerial positions,23.0
2009,percent,managerial positions,25.0
2010,percent,managerial positions,30.0
2011,percent,managerial positions,31.0
2012,percent,managerial positions,27.0
2013,percent,managerial positions,25.0
2014,percent,managerial positions,27.0
2015,percent,managerial positions,22.0
2016,percent,managerial positions,29.0
2017,percent,managerial positions,22.0
2018,percent,managerial positions,29.0
2019,percent,managerial positions,36.0
2020,percent,managerial positions,32.0
2011,percent,senior and middle management positions,35.7
2012,percent,senior and middle management positions,23.3
2013,percent,senior and middle management positions,22.6
2014,percent,senior and middle management positions,24.6
2015,percent,senior and middle management positions,17.6
2016,percent,senior and middle management positions,24.9
2017,percent,senior and middle management positions,25.4
2018,percent,senior and middle management positions,23.8
2019,percent,senior and middle management positions,28.2
2020,percent,senior and middle management positions,25.3
