Year,Value,Units
2002,71.89008,millions USD
2003,49.43149,millions USD
2004,65.37657,millions USD
2005,500.61185,millions USD
2006,622.00163,millions USD
2007,934.44223,millions USD
2008,960.42333,millions USD
2009,1527.25942,millions USD
2010,760.44077,millions USD
2011,558.0527,millions USD
2012,619.75295,millions USD
2013,447.4746,millions USD
2014,497.6552,millions USD
2015,699.36536,millions USD
2016,226.40964,millions USD
2017,558.56576,millions USD
2018,489.81482,millions USD
2019,416.44721,millions USD
2020,532.28453,millions USD
2021,698.91957,millions USD
2022,876.73479,millions USD
2023,526.2454,millions USD
