Year,Value,Units
2002,0.05,index
2003,0.09,index
2004,0.11,index
2005,0.11,index
2006,0.08,index
2007,0.1,index
2008,0.12,index
2009,0.1,index
2010,0.09,index
2011,0.08,index
2012,0.09,index
2013,0.07,index
2014,0.06,index
2015,0.08,index
2016,0.16,index
2017,0.18,index
2018,0.14,index
2019,0.19,index
2020,0.16,index
2021,0.23,index
2022,0.24,index
