Year,Value,Units
2003,8140000,usd
2004,20129999,usd
2005,3860000,usd
2006,95589996,usd
2007,105650002,usd
2008,104470001,usd
2009,76489998,usd
2010,80070000,usd
2011,126629997,usd
2012,103089996,usd
2013,117180000,usd
2014,100419998,usd
2015,99959999,usd
2016,85730003,usd
2017,117989998,usd
2018,156220001,usd
2019,95860001,usd
2020,205009995,usd
2021,131899994,usd
