Year,Value,Units
2000,14.8,per_100000_population
2001,17.61,per_100000_population
2002,13.69,per_100000_population
2003,14.17,per_100000_population
2004,15.28,per_100000_population
2005,15.9,per_100000_population
2006,14.24,per_100000_population
2007,20.34,per_100000_population
2008,18.51,per_100000_population
2009,16.53,per_100000_population
2010,15.7,per_100000_population
2011,9.6,per_100000_population
2012,7.51,per_100000_population
2013,12.13,per_100000_population
2014,10.69,per_100000_population
2015,8.45,per_100000_population
2016,10.68,per_100000_population
2017,10.36,per_100000_population
2018,7.81,per_100000_population
2019,7.64,per_100000_population
2021,9.1,per_100000_population
