Year,Value,Units
1885,446.0,million_tonnes
1890,1337.0,million_tonnes
1891,1560.0,million_tonnes
1892,1727.0,million_tonnes
1893,3064.0,million_tonnes
1894,5849.0,million_tonnes
1895,5849.0,million_tonnes
1896,6518.0,million_tonnes
1897,5069.0,million_tonnes
1898,7688.0,million_tonnes
1899,8969.0,million_tonnes
1900,12144.0,million_tonnes
1901,13258.0,million_tonnes
1902,12423.0,million_tonnes
1903,13481.0,million_tonnes
1904,14373.0,million_tonnes
1905,15598.0,million_tonnes
1906,18662.0,million_tonnes
1907,18996.0,million_tonnes
1908,20445.0,million_tonnes
1909,21002.0,million_tonnes
1910,20779.0,million_tonnes
1911,22506.0,million_tonnes
1912,23063.0,million_tonnes
1913,63340.0,million_tonnes
1919,45402.0,million_tonnes
1920,60276.0,million_tonnes
1921,64175.004,million_tonnes
1922,93255.0,million_tonnes
1923,101722.0,million_tonnes
1924,104285.0,million_tonnes
1925,114479.0,million_tonnes
1926,111471.0,million_tonnes
1927,125955.0,million_tonnes
1928,143057.0,million_tonnes
1929,156037.0,million_tonnes
1930,146846.0,million_tonnes
1931,135704.0,million_tonnes
1932,123727.0,million_tonnes
1933,114479.0,million_tonnes
1934,119159.0,million_tonnes
1935,124730.0,million_tonnes
1936,123003.0,million_tonnes
1937,137041.0,million_tonnes
1938,129798.99,million_tonnes
1939,136205.0,million_tonnes
1940,156650.0,million_tonnes
1943,5738.0,million_tonnes
1944,1393.0,million_tonnes
1945,79161.0,million_tonnes
1946,156427.0,million_tonnes
1947,217650.0,million_tonnes
1948,245337.0,million_tonnes
1949,280266.0,million_tonnes
1950,269235.0,million_tonnes
1951,254863.0,million_tonnes
1952,255921.0,million_tonnes
1953,254139.0,million_tonnes
1954,303161.0,million_tonnes
1955,347171.0,million_tonnes
1956,396918.0,million_tonnes
1957,431011.0,million_tonnes
1958,424771.0,million_tonnes
1959,486941.0,million_tonnes
1960,531897.0,million_tonnes
1961,557523.0,million_tonnes
1962,572118.0,million_tonnes
1963,636461.0,million_tonnes
1964,721081.0,million_tonnes
1965,741915.0,million_tonnes
1966,735175.0,million_tonnes
1967,742584.0,million_tonnes
1968,794225.0,million_tonnes
1969,823472.0,million_tonnes
1970,1076106.0,million_tonnes
1971,1159779.0,million_tonnes
1972,1087025.0,million_tonnes
1973,1298547.0,million_tonnes
1974,1304229.0,million_tonnes
1975,1360884.0,million_tonnes
1976,1404615.0,million_tonnes
1977,1365953.0,million_tonnes
1978,1526447.0,million_tonnes
1979,1660313.0,million_tonnes
1980,1632626.0,million_tonnes
1981,1776798.0,million_tonnes
1982,1632348.0,million_tonnes
1983,1757746.0,million_tonnes
1984,1853675.0,million_tonnes
1985,1890887.0,million_tonnes
1986,1974783.0,million_tonnes
1987,1927989.0,million_tonnes
1988,1989434.0,million_tonnes
1989,1983362.0,million_tonnes
1990,1962026.0,million_tonnes
1991,1388069.0,million_tonnes
1992,1483274.0,million_tonnes
1993,1293620.0,million_tonnes
1994,1256653.0,million_tonnes
1995,1327336.0,million_tonnes
1996,1552994.0,million_tonnes
1997,1669797.0,million_tonnes
1998,1757580.0,million_tonnes
1999,1211858.0,million_tonnes
2000,1520843.0,million_tonnes
2001,1667268.0,million_tonnes
2002,1766249.0,million_tonnes
2003,1889193.0,million_tonnes
2004,2041277.9,million_tonnes
2005,1750836.0,million_tonnes
2006,2062832.1,million_tonnes
2007,2055504.1,million_tonnes
2008,2605104.0,million_tonnes
2009,1681776.0,million_tonnes
2010,2421904.0,million_tonnes
2011,2407248.0,million_tonnes
2012,2213056.0,million_tonnes
2013,2150768.0,million_tonnes
2014,2106800.0,million_tonnes
2015,2238704.0,million_tonnes
2016,2015199.9,million_tonnes
2017,2103136.0,million_tonnes
2018,2399920.0,million_tonnes
2019,2476864.0,million_tonnes
2020,2407248.0,million_tonnes
2021,2304752.0,million_tonnes
2022,2292498.0,million_tonnes
