Year,Value,Units
2010,1.4,Index
2011,0.56,Index
2012,0.56,Index
2013,0.57,Index
2014,0.12,Index
2015,0.61,Index
2016,-0.14,Index
2017,-0.26,Index
2018,-0.58,Index
2019,1.25,Index
2020,0.75,Index
2021,0.43,Index
2022,3.35,Index
