Year,Units,Value
1995,total,23
2000,total,23
2005,total,143
2010,total,340
2012,total,356
2014,total,356
2016,total,356
2017,total,376
2018,total,388
2019,total,388
2020,total,388
2021,total,388
2022,total,388
