Year,Units,Value
2010,ukupno novoinficiranih,21.0
2011,ukupno novoinficiranih,23.0
2012,ukupno novoinficiranih,24.0
2013,ukupno novoinficiranih,25.0
2014,ukupno novoinficiranih,26.0
2015,ukupno novoinficiranih,27.0
2016,ukupno novoinficiranih,28.0
2017,ukupno novoinficiranih,29.0
2018,ukupno novoinficiranih,29.0
2019,ukupno novoinficiranih,30.0
2020,ukupno novoinficiranih,30.0
2021,ukupno novoinficiranih,30.0
2022,ukupno novoinficiranih,31.0
2023,ukupno novoinficiranih,33.0
2024,ukupno novoinficiranih,34.0
2010,ukupno novoinficiranih na 1000 neinficiranih,0.03
2011,ukupno novoinficiranih na 1000 neinficiranih,0.04
2012,ukupno novoinficiranih na 1000 neinficiranih,0.04
2013,ukupno novoinficiranih na 1000 neinficiranih,0.04
2014,ukupno novoinficiranih na 1000 neinficiranih,0.04
2015,ukupno novoinficiranih na 1000 neinficiranih,0.04
2016,ukupno novoinficiranih na 1000 neinficiranih,0.05
2017,ukupno novoinficiranih na 1000 neinficiranih,0.05
2018,ukupno novoinficiranih na 1000 neinficiranih,0.05
2019,ukupno novoinficiranih na 1000 neinficiranih,0.05
2020,ukupno novoinficiranih na 1000 neinficiranih,0.05
2021,ukupno novoinficiranih na 1000 neinficiranih,0.05
2022,ukupno novoinficiranih na 1000 neinficiranih,0.05
2023,ukupno novoinficiranih na 1000 neinficiranih,0.05
2024,ukupno novoinficiranih na 1000 neinficiranih,0.05
