Year,Units,Category,Value
2010,percent,total,17.5
2011,percent,total,18.0
2012,percent,total,17.7
2013,percent,total,17.8
2014,percent,total,17.8
2015,percent,total,18.8
2016,percent,total,19.6
2017,percent,total,20.4
2018,percent,total,21.5
2019,percent,total,22.3
2020,percent,total,18.9
2010,percent,agriculture,3.8
2011,percent,agriculture,4.1
2012,percent,agriculture,3.7
2013,percent,agriculture,4.1
2014,percent,agriculture,4.2
2015,percent,agriculture,4.3
2016,percent,agriculture,4.1
2017,percent,agriculture,4.0
2018,percent,agriculture,4.1
2019,percent,agriculture,4.1
2020,percent,agriculture,3.6
2008,percent,industries,7.8
2009,percent,industries,6.1
2010,percent,industries,6.3
2011,percent,industries,6.7
2012,percent,industries,5.8
2013,percent,industries,5.4
2014,percent,industries,5.3
2015,percent,industries,5.8
2016,percent,industries,6.9
2017,percent,industries,7.5
2018,percent,industries,7.9
2019,percent,industries,8.7
2020,percent,industries,7.1
2008,percent,services,23.9
2009,percent,services,24.0
2010,percent,services,25.0
2011,percent,services,25.7
2012,percent,services,25.7
2013,percent,services,26.1
2014,percent,services,26.2
2015,percent,services,27.6
2016,percent,services,28.1
2017,percent,services,29.1
2018,percent,services,30.6
2019,percent,services,31.4
2020,percent,services,26.9
2021,percent,total,21.3
2021,percent,agriculture,3.8
2021,percent,industries,7.3
2021,percent,services,30.7
