Year,Units,Kategorija,Value
2008,procenat,menadžerske pozicije,23.0
2009,procenat,menadžerske pozicije,25.0
2010,procenat,menadžerske pozicije,30.0
2011,procenat,menadžerske pozicije,31.0
2012,procenat,menadžerske pozicije,27.0
2013,procenat,menadžerske pozicije,25.0
2014,procenat,menadžerske pozicije,27.0
2015,procenat,menadžerske pozicije,22.0
2016,procenat,menadžerske pozicije,29.0
2017,procenat,menadžerske pozicije,22.0
2018,procenat,menadžerske pozicije,29.0
2019,procenat,menadžerske pozicije,36.0
2020,procenat,menadžerske pozicije,32.0
2011,procenat,viši i srednji rukovodeći položaji,35.7
2012,procenat,viši i srednji rukovodeći položaji,23.3
2013,procenat,viši i srednji rukovodeći položaji,22.6
2014,procenat,viši i srednji rukovodeći položaji,24.6
2015,procenat,viši i srednji rukovodeći položaji,17.6
2016,procenat,viši i srednji rukovodeći položaji,24.9
2017,procenat,viši i srednji rukovodeći položaji,25.4
2018,procenat,viši i srednji rukovodeći položaji,23.8
2019,procenat,viši i srednji rukovodeći položaji,28.2
2020,procenat,viši i srednji rukovodeći položaji,25.3
