Year,Units,Kategorija,Value
2010,udio BDP-a,proizvodna vrijednost,4.2
2011,udio BDP-a,proizvodna vrijednost,4.9
2012,udio BDP-a,proizvodna vrijednost,4.5
2013,udio BDP-a,proizvodna vrijednost,4.2
2014,udio BDP-a,proizvodna vrijednost,3.9
2015,udio BDP-a,proizvodna vrijednost,4.0
2016,udio BDP-a,proizvodna vrijednost,3.8
2017,udio BDP-a,proizvodna vrijednost,3.9
2018,udio BDP-a,proizvodna vrijednost,4.0
2019,udio BDP-a,proizvodna vrijednost,3.8
2020,udio BDP-a,proizvodna vrijednost,4.0
2021,udio BDP-a,proizvodna vrijednost,3.7
2022,udio BDP-a,proizvodna vrijednost,3.8
2023,udio BDP-a,proizvodna vrijednost,2.9
2024,udio BDP-a,proizvodna vrijednost,3.3
2010,"po glavi stanovnika, u EUR",proizvodna vrijednost,206.0
2011,"po glavi stanovnika, u EUR",proizvodna vrijednost,254.0
2012,"po glavi stanovnika, u EUR",proizvodna vrijednost,228.0
2013,"po glavi stanovnika, u EUR",proizvodna vrijednost,222.0
2014,"po glavi stanovnika, u EUR",proizvodna vrijednost,214.0
2015,"po glavi stanovnika, u EUR",proizvodna vrijednost,229.0
2016,"po glavi stanovnika, u EUR",proizvodna vrijednost,230.0
2017,"po glavi stanovnika, u EUR",proizvodna vrijednost,260.0
2021,"po glavi stanovnika, u EUR",proizvodna vrijednost,291.0
2022,"po glavi stanovnika, u EUR",proizvodna vrijednost,358.0
2023,"po glavi stanovnika, u EUR",proizvodna vrijednost,328.0
2024,"po glavi stanovnika, u EUR",proizvodna vrijednost,408.0
