Year,Units,Kategorija,Value
2010,hiljada tona,ukupno,4813
2011,hiljada tona,ukupno,4048
2012,hiljada tona,ukupno,2310
2013,hiljada tona,ukupno,3029
2014,hiljada tona,ukupno,2784
2015,hiljada tona,ukupno,3245
2016,hiljada tona,ukupno,3894
2017,hiljada tona,ukupno,4539
2018,hiljada tona,ukupno,3741
2019,hiljada tona,ukupno,4070
2020,hiljada tona,ukupno,3999
2021,hiljada tona,ukupno,3650
2022,hiljada tona,ukupno,5151
2010,hiljada tona,željeznički saobraćaj,1213
2011,hiljada tona,željeznički saobraćaj,1050
2012,hiljada tona,željeznički saobraćaj,683
2013,hiljada tona,željeznički saobraćaj,1049
2014,hiljada tona,željeznički saobraćaj,903
2015,hiljada tona,željeznički saobraćaj,988
2016,hiljada tona,željeznički saobraćaj,1395
2017,hiljada tona,željeznički saobraćaj,1603
2018,hiljada tona,željeznički saobraćaj,967
2019,hiljada tona,željeznički saobraćaj,1132
2020,hiljada tona,željeznički saobraćaj,1154
2021,hiljada tona,željeznički saobraćaj,943
2022,hiljada tona,željeznički saobraćaj,1346
2010,hiljada tona,drumski saobraćaj,1839
2011,hiljada tona,drumski saobraćaj,1247
2012,hiljada tona,drumski saobraćaj,398
2013,hiljada tona,drumski saobraćaj,684
2014,hiljada tona,drumski saobraćaj,639
2015,hiljada tona,drumski saobraćaj,768
2016,hiljada tona,drumski saobraćaj,852
2017,hiljada tona,drumski saobraćaj,839
2018,hiljada tona,drumski saobraćaj,810
2019,hiljada tona,drumski saobraćaj,886
2020,hiljada tona,drumski saobraćaj,800
2021,hiljada tona,drumski saobraćaj,847
2022,hiljada tona,drumski saobraćaj,875
2010,hiljada tona,avio saobraćaj,2
2011,hiljada tona,avio saobraćaj,1
2012,hiljada tona,avio saobraćaj,1
2013,hiljada tona,avio saobraćaj,1
2014,hiljada tona,avio saobraćaj,1
2015,hiljada tona,avio saobraćaj,1
2016,hiljada tona,avio saobraćaj,1
2017,hiljada tona,avio saobraćaj,1
2018,hiljada tona,avio saobraćaj,1
2019,hiljada tona,avio saobraćaj,1
2020,hiljada tona,avio saobraćaj,1
2021,hiljada tona,avio saobraćaj,1
2022,hiljada tona,avio saobraćaj,1
2010,hiljada tona,pomorski saobraćaj,1759
2011,hiljada tona,pomorski saobraćaj,1750
2012,hiljada tona,pomorski saobraćaj,1228
2013,hiljada tona,pomorski saobraćaj,1295
2014,hiljada tona,pomorski saobraćaj,1241
2015,hiljada tona,pomorski saobraćaj,1488
2016,hiljada tona,pomorski saobraćaj,1646
2017,hiljada tona,pomorski saobraćaj,2096
2018,hiljada tona,pomorski saobraćaj,1963
2019,hiljada tona,pomorski saobraćaj,2051
2020,hiljada tona,pomorski saobraćaj,2044
2021,hiljada tona,pomorski saobraćaj,1859
2022,hiljada tona,pomorski saobraćaj,2929
2023,hiljada tona,ukupno,4486
2023,hiljada tona,željeznički saobraćaj,1114
2023,hiljada tona,drumski saobraćaj,961
2023,hiljada tona,avio saobraćaj,1
2023,hiljada tona,pomorski saobraćaj,2410
2024,hiljada tona,ukupno,4484
2024,hiljada tona,željeznički saobraćaj,1000
2024,hiljada tona,drumski saobraćaj,1019
2024,hiljada tona,avio saobraćaj,1
2024,hiljada tona,pomorski saobraćaj,2464
2020,hiljada putnika,željeznički saobraćaj,473
2021,hiljada putnika,željeznički saobraćaj,555
2022,hiljada putnika,željeznički saobraćaj,778
2023,hiljada putnika,željeznički saobraćaj,853
2024,hiljada putnika,željeznički saobraćaj,864
2020,hiljada putnika,drumski saobraćaj,2697
2021,hiljada putnika,drumski saobraćaj,3754
2022,hiljada putnika,drumski saobraćaj,5831
2023,hiljada putnika,drumski saobraćaj,6320
2024,hiljada putnika,drumski saobraćaj,7050
2020,hiljada putnika,avio saobraćaj,522
2021,hiljada putnika,avio saobraćaj,1309
2022,hiljada putnika,avio saobraćaj,1909
2023,hiljada putnika,avio saobraćaj,2493
2024,hiljada putnika,avio saobraćaj,2872
2020,hiljada putnika,lokalni drumski saobraćaj,695
2021,hiljada putnika,lokalni drumski saobraćaj,978
2022,hiljada putnika,lokalni drumski saobraćaj,1298
2023,hiljada putnika,lokalni drumski saobraćaj,1607
2024,hiljada putnika,lokalni drumski saobraćaj,2402
