Year,Units,Value
2010,miliona dolara (2021),0.80221
2011,miliona dolara (2021),0.18067
2012,miliona dolara (2021),0.282
2013,miliona dolara (2021),0.20924
2014,miliona dolara (2021),-0.05129
2015,miliona dolara (2021),-0.39947
2016,miliona dolara (2021),0.76361
2017,miliona dolara (2021),-0.43349
2018,miliona dolara (2021),-0.294
2019,miliona dolara (2021),-0.28496
2020,miliona dolara (2021),1.62194
2021,miliona dolara (2021),12.78767
2022,miliona dolara (2021),4.80833
