Year,Units,Location,Value
2008,%,,8.6
2009,%,,8.6
2010,%,,8.6
2011,%,,8.5
2012,%,,8.4
2013,%,,8.3
2014,%,,8.2
2015,%,,8.2
2016,%,,8.2
2017,%,,8.2
2018,%,,7.2
2018,%,Roma settlements,20.8
2019,%,,8.3
2020,%,,8.3
2021,%,,8.3
2022,%,,8.2
