Year,Units,Kategorija,Value
2008,procenat,Prosječan udio ključnih morskih područja biodiverziteta pokrivenih zaštićenim područjima,0.0
2009,procenat,Prosječan udio ključnih morskih područja biodiverziteta pokrivenih zaštićenim područjima,0.0
2010,procenat,Prosječan udio ključnih morskih područja biodiverziteta pokrivenih zaštićenim područjima,0.0
2011,procenat,Prosječan udio ključnih morskih područja biodiverziteta pokrivenih zaštićenim područjima,0.0
2012,procenat,Prosječan udio ključnih morskih područja biodiverziteta pokrivenih zaštićenim područjima,0.0
2013,procenat,Prosječan udio ključnih morskih područja biodiverziteta pokrivenih zaštićenim područjima,0.0
2014,procenat,Prosječan udio ključnih morskih područja biodiverziteta pokrivenih zaštićenim područjima,0.0
2015,procenat,Prosječan udio ključnih morskih područja biodiverziteta pokrivenih zaštićenim područjima,0.0
2016,procenat,Prosječan udio ključnih morskih područja biodiverziteta pokrivenih zaštićenim područjima,0.0
2017,procenat,Prosječan udio ključnih morskih područja biodiverziteta pokrivenih zaštićenim područjima,0.0
2018,procenat,Prosječan udio ključnih morskih područja biodiverziteta pokrivenih zaštićenim područjima,0.0
2019,procenat,Prosječan udio ključnih morskih područja biodiverziteta pokrivenih zaštićenim područjima,17.8
2020,procenat,Prosječan udio ključnih morskih područja biodiverziteta pokrivenih zaštićenim područjima,17.8
2021,procenat,Prosječan udio ključnih morskih područja biodiverziteta pokrivenih zaštićenim područjima,17.8
2022,procenat,Prosječan udio ključnih morskih područja biodiverziteta pokrivenih zaštićenim područjima,17.8
2021,procenat,Pokrivenost zaštićenih područja u odnosu na morska područja (ekskluzivne ekonomske zone),0.02
