Year,Units,Value
2010,Indeks,1.4
2011,Indeks,0.56
2012,Indeks,0.56
2013,Indeks,0.57
2014,Indeks,0.12
2015,Indeks,0.61
2016,Indeks,-0.14
2017,Indeks,-0.26
2018,Indeks,-0.58
2019,Indeks,1.25
2020,Indeks,0.75
2021,Indeks,0.43
2022,Indeks,3.35
