Year,Units,Kategorija,Value
2008,procenat,Nenaplativi krediti umanjeni za rezervisanja za kapital,49.0
2009,procenat,Nenaplativi krediti umanjeni za rezervisanja za kapital,59.2
2010,procenat,Nenaplativi krediti umanjeni za rezervisanja za kapital,98.6
2011,procenat,Nenaplativi krediti umanjeni za rezervisanja za kapital,66.3
2012,procenat,Nenaplativi krediti umanjeni za rezervisanja za kapital,72.5
2013,procenat,Nenaplativi krediti umanjeni za rezervisanja za kapital,91.8
2014,procenat,Nenaplativi krediti umanjeni za rezervisanja za kapital,68.8
2015,procenat,Nenaplativi krediti umanjeni za rezervisanja za kapital,52.5
2016,procenat,Nenaplativi krediti umanjeni za rezervisanja za kapital,38.3
2017,procenat,Nenaplativi krediti umanjeni za rezervisanja za kapital,28.9
2018,procenat,Nenaplativi krediti umanjeni za rezervisanja za kapital,21.0
2019,procenat,Nenaplativi krediti umanjeni za rezervisanja za kapital,14.9
2020,procenat,Nenaplativi krediti umanjeni za rezervisanja za kapital,21.2
2021,procenat,Nenaplativi krediti umanjeni za rezervisanja za kapital,22.6
2008,procenat,Nenaplativi krediti do ukupnih bruto kredita,7.3
2009,procenat,Nenaplativi krediti do ukupnih bruto kredita,13.6
2010,procenat,Nenaplativi krediti do ukupnih bruto kredita,20.9
2011,procenat,Nenaplativi krediti do ukupnih bruto kredita,15.3
2012,procenat,Nenaplativi krediti do ukupnih bruto kredita,17.3
2013,procenat,Nenaplativi krediti do ukupnih bruto kredita,20.3
2014,procenat,Nenaplativi krediti do ukupnih bruto kredita,18.6
2015,procenat,Nenaplativi krediti do ukupnih bruto kredita,14.6
2016,procenat,Nenaplativi krediti do ukupnih bruto kredita,11.4
2017,procenat,Nenaplativi krediti do ukupnih bruto kredita,8.3
2018,procenat,Nenaplativi krediti do ukupnih bruto kredita,7.4
2019,procenat,Nenaplativi krediti do ukupnih bruto kredita,5.1
2020,procenat,Nenaplativi krediti do ukupnih bruto kredita,5.9
2021,procenat,Nenaplativi krediti do ukupnih bruto kredita,6.8
2022,procenat,Nenaplativi krediti umanjeni za rezervisanja za kapital,21.4
2023,procenat,Nenaplativi krediti umanjeni za rezervisanja za kapital,18.4
2024,procenat,Nenaplativi krediti umanjeni za rezervisanja za kapital,11.2
2022,procenat,Nenaplativi krediti do ukupnih bruto kredita,6.3
2023,procenat,Nenaplativi krediti do ukupnih bruto kredita,5.8
2024,procenat,Nenaplativi krediti do ukupnih bruto kredita,4.1
