Year,Units,Kategorija,Value
2010,tone,,10039376.0
2011,tone,,9056172.0
2012,tone,,8487730.0
2013,tone,,8724634.0
2010,tone po glavi stanovnika,,16.2
2011,tone po glavi stanovnika,,14.6
2012,tone po glavi stanovnika,,13.7
2013,tone po glavi stanovnika,,14.1
2008,kilograma po konstantnom USD iz 2015,biomasa,0.3
2009,kilograma po konstantnom USD iz 2015,biomasa,0.3
2010,kilograma po konstantnom USD iz 2015,biomasa,0.4
2011,kilograma po konstantnom USD iz 2015,biomasa,0.4
2012,kilograma po konstantnom USD iz 2015,biomasa,0.4
2013,kilograma po konstantnom USD iz 2015,biomasa,0.4
2014,kilograma po konstantnom USD iz 2015,biomasa,0.4
2015,kilograma po konstantnom USD iz 2015,biomasa,0.3
2016,kilograma po konstantnom USD iz 2015,biomasa,0.3
2017,kilograma po konstantnom USD iz 2015,biomasa,0.3
2018,kilograma po konstantnom USD iz 2015,biomasa,0.3
2019,kilograma po konstantnom USD iz 2015,biomasa,0.3
2008,kilograma po konstantnom USD iz 2015,fosilna goriva,0.4
2009,kilograma po konstantnom USD iz 2015,fosilna goriva,0.3
2010,kilograma po konstantnom USD iz 2015,fosilna goriva,0.5
2011,kilograma po konstantnom USD iz 2015,fosilna goriva,0.5
2012,kilograma po konstantnom USD iz 2015,fosilna goriva,0.5
2013,kilograma po konstantnom USD iz 2015,fosilna goriva,0.4
2014,kilograma po konstantnom USD iz 2015,fosilna goriva,0.4
2015,kilograma po konstantnom USD iz 2015,fosilna goriva,0.4
2016,kilograma po konstantnom USD iz 2015,fosilna goriva,0.3
2017,kilograma po konstantnom USD iz 2015,fosilna goriva,0.3
2018,kilograma po konstantnom USD iz 2015,fosilna goriva,0.3
2019,kilograma po konstantnom USD iz 2015,fosilna goriva,0.3
2008,kilograma po konstantnom USD iz 2015,metalne rude,0.1
2009,kilograma po konstantnom USD iz 2015,metalne rude,0.0
2010,kilograma po konstantnom USD iz 2015,metalne rude,0.0
2011,kilograma po konstantnom USD iz 2015,metalne rude,0.1
2012,kilograma po konstantnom USD iz 2015,metalne rude,0.0
2013,kilograma po konstantnom USD iz 2015,metalne rude,0.0
2014,kilograma po konstantnom USD iz 2015,metalne rude,0.1
2015,kilograma po konstantnom USD iz 2015,metalne rude,0.0
2016,kilograma po konstantnom USD iz 2015,metalne rude,0.1
2017,kilograma po konstantnom USD iz 2015,metalne rude,0.0
2018,kilograma po konstantnom USD iz 2015,metalne rude,0.1
2019,kilograma po konstantnom USD iz 2015,metalne rude,0.1
2008,kilograma po konstantnom USD iz 2015,nemetalni minerali,1.7
2009,kilograma po konstantnom USD iz 2015,nemetalni minerali,1.2
2010,kilograma po konstantnom USD iz 2015,nemetalni minerali,1.0
2011,kilograma po konstantnom USD iz 2015,nemetalni minerali,0.9
2012,kilograma po konstantnom USD iz 2015,nemetalni minerali,0.9
2013,kilograma po konstantnom USD iz 2015,nemetalni minerali,0.8
2014,kilograma po konstantnom USD iz 2015,nemetalni minerali,0.8
2015,kilograma po konstantnom USD iz 2015,nemetalni minerali,0.8
2016,kilograma po konstantnom USD iz 2015,nemetalni minerali,1.0
2017,kilograma po konstantnom USD iz 2015,nemetalni minerali,1.3
2018,kilograma po konstantnom USD iz 2015,nemetalni minerali,1.6
2019,kilograma po konstantnom USD iz 2015,nemetalni minerali,1.5
