Year,Units,Kategorija,Value
2008,%,nacionalni parlament,11.1
2009,%,nacionalni parlament,11.1
2010,%,nacionalni parlament,11.1
2011,%,nacionalni parlament,11.1
2012,%,nacionalni parlament,12.3
2013,%,nacionalni parlament,17.3
2014,%,nacionalni parlament,14.8
2015,%,nacionalni parlament,17.3
2016,%,nacionalni parlament,17.3
2017,%,nacionalni parlament,23.5
2018,%,nacionalni parlament,23.5
2019,%,nacionalni parlament,23.5
2020,%,nacionalni parlament,29.6
2021,%,nacionalni parlament,24.7
2022,%,nacionalni parlament,27.2
2023,%,nacionalni parlament,28.4
2017,%,lokalne samouprave,27.8
