Year,Units,Kategorija,Value
2008,procenat,Udio stanovništva koja koriste čista goriva i tehnologije,77.0
2009,procenat,Udio stanovništva koja koriste čista goriva i tehnologije,42.0
2010,procenat,Udio stanovništva koja koriste čista goriva i tehnologije,75.0
2011,procenat,Udio stanovništva koja koriste čista goriva i tehnologije,74.0
2012,procenat,Udio stanovništva koja koriste čista goriva i tehnologije,74.0
2013,procenat,Udio stanovništva koja koriste čista goriva i tehnologije,73.0
2014,procenat,Udio stanovništva koja koriste čista goriva i tehnologije,73.0
2015,procenat,Udio stanovništva koja koriste čista goriva i tehnologije,42.0
2016,procenat,Udio stanovništva koja koriste čista goriva i tehnologije,72.0
2017,procenat,Udio stanovništva koja koriste čista goriva i tehnologije,62.0
2018,procenat,Udio stanovništva koje koristi čista goriva i tehnologije za kuvanje,63.8
2018,procenat,Udio stanovništva koje koristi čista goriva i tehnologije za grijanje,29.7
2018,procenat,Udio stanovništva koja koriste čista goriva i tehnologije za osvjetljenje,99.6
2018,procenat,"Udio stanovništva koja koriste čista goriva i tehnologije za kuvanje, grijanje i osvjetljenje",28.0
2018,procenat,Udio stanovništva koja koriste čista goriva i tehnologije,42.0
2019,procenat,Udio stanovništva koja koriste čista goriva i tehnologije,71.0
2020,procenat,Udio stanovništva koja koriste čista goriva i tehnologije,62.0
2021,procenat,Udio stanovništva koja koriste čista goriva i tehnologije,62.0
2000,procenat,Ruralno,45.1
2000,procenat,Sve lokacije,67.1
2000,procenat,Gradsko,83.1
2001,procenat,Sve lokacije,67.4
2001,procenat,Gradsko,82.6
2001,procenat,Ruralno,44.9
2002,procenat,Ruralno,44.4
2002,procenat,Gradsko,82.0
2002,procenat,Sve lokacije,66.9
2003,procenat,Sve lokacije,66.8
2003,procenat,Ruralno,43.6
2003,procenat,Gradsko,81.3
2004,procenat,Gradsko,80.7
2004,procenat,Ruralno,43.6
2004,procenat,Sve lokacije,66.3
2005,procenat,Gradsko,79.5
2005,procenat,Ruralno,43.1
2005,procenat,Sve lokacije,65.8
2006,procenat,Gradsko,78.7
2006,procenat,Ruralno,42.5
2006,procenat,Sve lokacije,65.45
2007,procenat,Gradsko,77.7
2007,procenat,Ruralno,42.3
2007,procenat,Sve lokacije,64.8
2008,procenat,Gradsko,77.0
2008,procenat,Ruralno,41.4
2008,procenat,Sve lokacije,64.2
2009,procenat,Gradsko,75.8
2009,procenat,Ruralno,41.5
2009,procenat,Sve lokacije,63.65
2010,procenat,Gradsko,75.0
2010,procenat,Sve lokacije,63.0
2010,procenat,Ruralno,41.5
2011,procenat,Sve lokacije,62.8
2011,procenat,Gradsko,74.3
2011,procenat,Ruralno,41.15
2012,procenat,Sve lokacije,62.2
2012,procenat,Gradsko,73.5
2012,procenat,Ruralno,41.1
2013,procenat,Gradsko,73.0
2013,procenat,Ruralno,41.1
2013,procenat,Sve lokacije,61.9
2014,procenat,Gradsko,72.3
2014,procenat,Ruralno,41.2
2014,procenat,Sve lokacije,61.8
2015,procenat,Ruralno,41.4
2015,procenat,Gradsko,72.2
2015,procenat,Sve lokacije,61.4
2016,procenat,Ruralno,41.7
2016,procenat,Gradsko,71.6
2016,procenat,Sve lokacije,61.6
2017,procenat,Ruralno,42.3
2017,procenat,Sve lokacije,61.6
2017,procenat,Gradsko,71.6
2018,procenat,Gradsko,71.2
2018,procenat,Ruralno,42.7
2018,procenat,Sve lokacije,61.75
2019,procenat,Sve lokacije,61.85
2019,procenat,Gradsko,71.2
2019,procenat,Ruralno,43.0
2020,procenat,Sve lokacije,62.1
2020,procenat,Gradsko,71.3
2020,procenat,Ruralno,43.8
2021,procenat,Ruralno,44.0
2021,procenat,Sve lokacije,62.3
2021,procenat,Gradsko,71.1
2022,procenat,Ruralno,44.7
2022,procenat,Sve lokacije,62.6
2022,procenat,Gradsko,71.5
