Year,Units,Kategorija,Value
2008,na 100 000 ljudi,Broj umrlih i nestalih osoba pripisanih katastrofama,0.0
2009,na 100 000 ljudi,Broj umrlih i nestalih osoba pripisanih katastrofama,0.2
2010,na 100 000 ljudi,Broj umrlih i nestalih osoba pripisanih katastrofama,0.0
2011,na 100 000 ljudi,Broj umrlih i nestalih osoba pripisanih katastrofama,0.0
2012,na 100 000 ljudi,Broj umrlih i nestalih osoba pripisanih katastrofama,0.0
2013,na 100 000 ljudi,Broj umrlih i nestalih osoba pripisanih katastrofama,3.0
2014,na 100 000 ljudi,Broj umrlih i nestalih osoba pripisanih katastrofama,0.0
2015,na 100 000 ljudi,Broj umrlih i nestalih osoba pripisanih katastrofama,0.0
2016,na 100 000 ljudi,Broj umrlih i nestalih osoba pripisanih katastrofama,0.5
2017,na 100 000 ljudi,Broj umrlih i nestalih osoba pripisanih katastrofama,0.0
2018,na 100 000 ljudi,Broj umrlih i nestalih osoba pripisanih katastrofama,0.0
2019,na 100 000 ljudi,Broj umrlih i nestalih osoba pripisanih katastrofama,
2020,na 100 000 ljudi,Broj umrlih i nestalih osoba pripisanih katastrofama,0.0
2021,na 100 000 ljudi,Broj umrlih i nestalih osoba pripisanih katastrofama,0.0
2008,na 100 000 ljudi,Broj direktno pogođenih osoba pripisanih katastrofama,0.0
2009,na 100 000 ljudi,Broj direktno pogođenih osoba pripisanih katastrofama,2.1
2010,na 100 000 ljudi,Broj direktno pogođenih osoba pripisanih katastrofama,87.6
2011,na 100 000 ljudi,Broj direktno pogođenih osoba pripisanih katastrofama,1.1
2012,na 100 000 ljudi,Broj direktno pogođenih osoba pripisanih katastrofama,0.0
2013,na 100 000 ljudi,Broj direktno pogođenih osoba pripisanih katastrofama,4.9
2014,na 100 000 ljudi,Broj direktno pogođenih osoba pripisanih katastrofama,0.0
2015,na 100 000 ljudi,Broj direktno pogođenih osoba pripisanih katastrofama,0.0
2016,na 100 000 ljudi,Broj direktno pogođenih osoba pripisanih katastrofama,0.9
2017,na 100 000 ljudi,Broj direktno pogođenih osoba pripisanih katastrofama,2.4
2018,na 100 000 ljudi,Broj direktno pogođenih osoba pripisanih katastrofama,1194.3
2020,na 100 000 ljudi,Broj direktno pogođenih osoba pripisanih katastrofama,0.0
2021,na 100 000 ljudi,Broj direktno pogođenih osoba pripisanih katastrofama,0.0
