Year,Units,Kategorija,Pol,Value
2011,%,,Muškarci,53.3
2011,%,,Žene,49.73
2011,%,"Vrijednost obračunatog indikatora, ukupno - Glavni grad Podgorica",,12.67
2011,%,Vrijednost indikatora - broj stanovnika koji ima smetnje u obavljanju svakodnevnih aktivnosti,,97.06
