Year,Units,Kategorija,Value
2004,miliona dolara,ukupno,0
2005,miliona dolara,ukupno,1
2006,miliona dolara,ukupno,1
2007,miliona dolara,ukupno,3
2008,miliona dolara,ukupno,10
2009,miliona dolara,ukupno,8
2010,miliona dolara,ukupno,12
2011,miliona dolara,ukupno,19
2012,miliona dolara,ukupno,42
2013,miliona dolara,ukupno,20
2014,miliona dolara,ukupno,29
2015,miliona dolara,ukupno,16
2016,miliona dolara,ukupno,14
2017,miliona dolara,ukupno,11
2018,miliona dolara,ukupno,27
2019,miliona dolara,ukupno,9
2020,miliona dolara,ukupno,15
2020,miliona dolara,Hidroelektrane,3
2020,miliona dolara,Upravljanje otpadom/odlaganje,0
2020,miliona dolara,Očuvanje vodnih resursa (uključujući prikupljanje podataka),0
2020,miliona dolara,Vodovod i kanalizacija - veliki sistemi,10
2018,miliona dolara,Vlada,15
