Year,Units,Value
2003,dolara,8140000
2004,dolara,20129999
2005,dolara,3860000
2006,dolara,95589996
2007,dolara,105650002
2008,dolara,104470001
2009,dolara,76489998
2010,dolara,80070000
2011,dolara,126629997
2012,dolara,103089996
2013,dolara,117180000
2014,dolara,100419998
2015,dolara,99959999
2016,dolara,85730003
2017,dolara,117989998
2018,dolara,156220001
2019,dolara,95860001
2020,dolara,205009995
2021,dolara,131899994
