Year,Units,Pol,Value
2008,na 100 000 ljudi,,3.8
2009,na 100 000 ljudi,,3.3
2010,na 100 000 ljudi,,2.4
2011,na 100 000 ljudi,,3.3
2012,na 100 000 ljudi,,2.7
2013,na 100 000 ljudi,,1.6
2014,na 100 000 ljudi,,3.1
2015,na 100 000 ljudi,,2.7
2016,na 100 000 ljudi,,4.4
2017,na 100 000 ljudi,,2.4
2018,na 100 000 ljudi,,2.2
2019,na 100 000 ljudi,,3.6
2020,na 100 000 ljudi,,2.9
2021,na 100 000 ljudi,,2.4
2020,na 100 000 ljudi,Muškarci,4.3
2020,na 100 000 ljudi,Žene,0.6
