Year,Units,Kategorija,Value
2008,%,menadžerske pozicije,23.0
2009,%,menadžerske pozicije,25.0
2010,%,menadžerske pozicije,30.0
2011,%,menadžerske pozicije,31.0
2012,%,menadžerske pozicije,27.0
2013,%,menadžerske pozicije,25.0
2014,%,menadžerske pozicije,27.0
2015,%,menadžerske pozicije,22.0
2016,%,menadžerske pozicije,29.0
2017,%,menadžerske pozicije,22.0
2018,%,menadžerske pozicije,29.0
2019,%,menadžerske pozicije,36.0
2020,%,menadžerske pozicije,32.0
2011,%,viši i srednji rukovodeći položaji,35.7
2012,%,viši i srednji rukovodeći položaji,23.3
2013,%,viši i srednji rukovodeći položaji,22.6
2014,%,viši i srednji rukovodeći položaji,24.6
2015,%,viši i srednji rukovodeći položaji,17.6
2016,%,viši i srednji rukovodeći položaji,24.9
2017,%,viši i srednji rukovodeći položaji,25.4
2018,%,viši i srednji rukovodeći položaji,23.8
2019,%,viši i srednji rukovodeći položaji,28.2
2020,%,viši i srednji rukovodeći položaji,25.3
