Year,Units,Value
2006,hiljade EUR,2166281
2007,hiljade EUR,2687082
2008,hiljade EUR,3100046
2009,hiljade EUR,2981872
2010,hiljade EUR,3120528
2011,hiljade EUR,3237983
2012,hiljade EUR,3169260
2013,hiljade EUR,3329596
2014,hiljade EUR,3447221
2015,hiljade EUR,3614995
2016,hiljade EUR,3936629
2017,hiljade EUR,4252496
2018,hiljade EUR,4600913
2019,hiljade EUR,4988390
2020,hiljade EUR,4144816
2021,hiljade EUR,4923235
2022,hiljade EUR,5944381
2023,hiljade EUR,7068843
2024,hiljade EUR,7644530
