Year,Units,Value
2008,miliona dolara (2020),3.83
2009,miliona dolara (2020),7.03
2010,miliona dolara (2020),0.02
2011,miliona dolara (2020),0.19
2012,miliona dolara (2020),13.3
2013,miliona dolara (2020),5.71
2014,miliona dolara (2020),0.84
2015,miliona dolara (2020),0.33
2016,miliona dolara (2020),20.6
2017,miliona dolara (2020),7.23
2019,miliona dolara (2020),35.11
2020,miliona dolara (2020),0.2
2021,miliona dolara (2020),22.7
