Year,Units,Lokacija,Value
2008,procenat,,8.6
2009,procenat,,8.6
2010,procenat,,8.6
2011,procenat,,8.5
2012,procenat,,8.4
2013,procenat,,8.3
2014,procenat,,8.2
2015,procenat,,8.2
2016,procenat,,8.2
2017,procenat,,8.2
2018,procenat,,7.2
2018,procenat,Romska naselja,20.8
2019,procenat,,8.3
2020,procenat,,8.3
2021,procenat,,8.3
2022,procenat,,8.2
