Year,Units,Kategorija,Value
2008,%,slatkovodni,49.2
2009,%,slatkovodni,49.2
2010,%,slatkovodni,49.2
2011,%,slatkovodni,49.2
2012,%,slatkovodni,49.2
2013,%,slatkovodni,49.2
2014,%,slatkovodni,49.2
2015,%,slatkovodni,49.2
2016,%,slatkovodni,49.2
2017,%,slatkovodni,49.2
2018,%,slatkovodni,49.2
2019,%,slatkovodni,49.2
2020,%,slatkovodni,49.2
2021,%,slatkovodni,49.2
2022,%,slatkovodni,49.2
2008,%,kopneni,17.7
2009,%,kopneni,17.7
2010,%,kopneni,17.7
2011,%,kopneni,17.7
2012,%,kopneni,17.7
2013,%,kopneni,17.7
2014,%,kopneni,17.7
2015,%,kopneni,17.7
2016,%,kopneni,17.7
2017,%,kopneni,17.7
2018,%,kopneni,17.7
2019,%,kopneni,25.9
2020,%,kopneni,25.9
2021,%,kopneni,25.9
2022,%,kopneni,25.9
