Year,Units,Value
2000,na 100 000 ljudi,14.8
2001,na 100 000 ljudi,17.61
2002,na 100 000 ljudi,13.69
2003,na 100 000 ljudi,14.17
2004,na 100 000 ljudi,15.28
2005,na 100 000 ljudi,15.9
2006,na 100 000 ljudi,14.24
2007,na 100 000 ljudi,20.34
2008,na 100 000 ljudi,18.51
2009,na 100 000 ljudi,16.53
2010,na 100 000 ljudi,15.7
2011,na 100 000 ljudi,9.6
2012,na 100 000 ljudi,7.51
2013,na 100 000 ljudi,12.13
2014,na 100 000 ljudi,10.69
2015,na 100 000 ljudi,8.45
2016,na 100 000 ljudi,10.68
2017,na 100 000 ljudi,10.36
2018,na 100 000 ljudi,7.81
2019,na 100 000 ljudi,7.64
2021,na 100 000 ljudi,9.1
