Year,Units,Kategorija,Value
2006,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),90.0
2007,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),92.0
2008,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),95.0
2009,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),92.0
2010,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),94.0
2011,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),95.0
2012,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),94.0
2013,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),94.0
2014,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),91.0
2015,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),89.0
2016,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),89.0
2017,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),87.0
2018,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),86.0
2019,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),85.0
2020,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),84.0
2021,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),83.0
2022,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),80.0
2023,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),81.23
2024,procenat,Udio ciljne populacije s pristupom 3 doze difterije-tetanusa-pertusisa (DTP3),81.0
2007,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),95.0
2008,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),96.0
2009,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),96.0
2010,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),97.0
2011,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),97.0
2012,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),97.0
2013,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),94.0
2014,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),95.0
2015,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),94.0
2016,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),86.0
2017,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),83.0
2018,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),86.0
2019,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),81.0
2020,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),76.0
2021,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),79.0
2022,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),70.0
2023,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),68.62
2024,procenat,Udio ciljne populacije koja ima pristup drugoj dozi vakcine koja sadrži ospice (MCV2),68.4
