Year,Units,Value
2010,total,6309
2011,total,6244
2012,total,6272
2013,total,5267
2014,total,3
2015,total,5
2016,total,6
2017,total,4
2018,total,5
2019,total,7
2020,total,3
2021,total,3
2022,total,2
2023,total,2
2024,total,4
