Year,Units,Value
2003,usd,8140000
2004,usd,20129999
2005,usd,3860000
2006,usd,95589996
2007,usd,105650002
2008,usd,104470001
2009,usd,76489998
2010,usd,80070000
2011,usd,126629997
2012,usd,103089996
2013,usd,117180000
2014,usd,100419998
2015,usd,99959999
2016,usd,85730003
2017,usd,117989998
2018,usd,156220001
2019,usd,95860001
2020,usd,205009995
2021,usd,131899994
