Year,Units,Category,Value
2011,%,4_1_2_cat_1,74.51
2012,%,4_1_2_cat_1,94.2
2014,%,4_1_2_cat_1,90.5
2015,%,4_1_2_cat_1,93.98
2016,%,4_1_2_cat_1,95.25
2017,%,4_1_2_cat_1,94.52
2018,%,4_1_2_cat_1,93.46
2019,%,4_1_2_cat_1,96.33
2020,%,4_1_2_cat_1,95.79
2021,%,4_1_2_cat_1,94.92
2022,%,4_1_2_cat_1,99.11
2023,%,4_1_2_cat_1,99.38
2024,%,4_1_2_cat_1,99.35
2025,%,4_1_2_cat_1,99.11
2021,%,4_1_2_cat_2,99.1
2022,%,4_1_2_cat_2,99.11
2023,%,4_1_2_cat_2,98.96
2024,%,4_1_2_cat_2,98.73
2025,%,4_1_2_cat_2,98.88
2021,%,4_1_2_cat_3,97.07
2022,%,4_1_2_cat_3,96.98
2023,%,4_1_2_cat_3,96.44
2024,%,4_1_2_cat_3,95.92
2025,%,4_1_2_cat_3,96.84
