Year,Units,Category,Value
2008,%,15_1_2_cat_1,49.2
2009,%,15_1_2_cat_1,49.2
2010,%,15_1_2_cat_1,49.2
2011,%,15_1_2_cat_1,49.2
2012,%,15_1_2_cat_1,49.2
2013,%,15_1_2_cat_1,49.2
2014,%,15_1_2_cat_1,49.2
2015,%,15_1_2_cat_1,49.2
2016,%,15_1_2_cat_1,49.2
2017,%,15_1_2_cat_1,49.2
2018,%,15_1_2_cat_1,49.2
2019,%,15_1_2_cat_1,49.2
2020,%,15_1_2_cat_1,49.2
2021,%,15_1_2_cat_1,49.2
2022,%,15_1_2_cat_1,49.2
2008,%,15_1_2_cat_2,17.7
2009,%,15_1_2_cat_2,17.7
2010,%,15_1_2_cat_2,17.7
2011,%,15_1_2_cat_2,17.7
2012,%,15_1_2_cat_2,17.7
2013,%,15_1_2_cat_2,17.7
2014,%,15_1_2_cat_2,17.7
2015,%,15_1_2_cat_2,17.7
2016,%,15_1_2_cat_2,17.7
2017,%,15_1_2_cat_2,17.7
2018,%,15_1_2_cat_2,17.7
2019,%,15_1_2_cat_2,25.9
2020,%,15_1_2_cat_2,25.9
2021,%,15_1_2_cat_2,25.9
2022,%,15_1_2_cat_2,25.9
