Year,Units,Location,Category,Value
2018,%,,sanitation_cat_1,99.6
2018,%,Roma settlements,sanitation_cat_1,94.3
2018,%,,sanitation_cat_2,96.0
2018,%,Roma settlements,sanitation_cat_2,84.6
2018,%,,sanitation_cat_3,73.7
2018,%,Roma settlements,sanitation_cat_3,83.9
2018,%,,sanitation_cat_4,12.8
2018,%,Roma settlements,sanitation_cat_4,7.9
2006,%,URBAN,,19.61326
2006,%,ALLAREA,,23.94933
2006,%,RURAL,,31.27029
2007,%,ALLAREA,,26.26775
2007,%,URBAN,,22.71833
2007,%,RURAL,,32.34753
2008,%,ALLAREA,,28.55996
2008,%,URBAN,,25.78911
2008,%,RURAL,,33.37529
2009,%,ALLAREA,,30.826
2009,%,RURAL,,34.35324
2009,%,URBAN,,28.82535
2010,%,ALLAREA,,33.06549
2010,%,RURAL,,35.28103
2010,%,URBAN,,31.8268
2011,%,ALLAREA,,35.27822
2011,%,URBAN,,34.79323
2011,%,RURAL,,36.15833
2012,%,RURAL,,36.9848
2012,%,URBAN,,37.72438
2012,%,ALLAREA,,37.46407
2013,%,ALLAREA,,39.62295
2013,%,URBAN,,40.62
2013,%,RURAL,,37.7601
2014,%,ALLAREA,,41.7548
2014,%,URBAN,,43.47985
2014,%,RURAL,,38.4839
2015,%,ALLAREA,,43.85956
2015,%,URBAN,,46.30369
2015,%,RURAL,,39.15586
2016,%,URBAN,,49.09126
2016,%,RURAL,,39.77563
2016,%,ALLAREA,,45.93708
2017,%,ALLAREA,,47.98737
2017,%,URBAN,,51.84233
2017,%,RURAL,,40.3429
2018,%,ALLAREA,,50.00739
2018,%,RURAL,,40.8573
2018,%,URBAN,,54.55237
2019,%,RURAL,,41.31852
2019,%,URBAN,,56.82465
2019,%,ALLAREA,,51.73089
2020,%,ALLAREA,,53.4151
2020,%,RURAL,,41.70282
2020,%,URBAN,,59.05743
2021,%,RURAL,,42.377
2021,%,ALLAREA,,55.40115
2021,%,URBAN,,61.57929
2022,%,URBAN,,64.10116
2022,%,RURAL,,43.05118
2022,%,ALLAREA,,57.39968
