Year,Units,Sex,Value
2000,%,Bothsex,20.8
2000,%,Female,11.2
2000,%,Male,30.7
2005,%,Bothsex,21.7
2005,%,Female,11.1
2005,%,Male,32.7
2010,%,Bothsex,20.3
2010,%,Male,30.4
2010,%,Female,10.5
2015,%,Bothsex,20.7
2015,%,Female,10.9
2015,%,Male,30.7
2019,%,Bothsex,21.0
2019,%,Female,10.4
2019,%,Male,31.7
2021,%,Bothsex,11.3
2022,%,Bothsex,7.69
