Year,Units,Value
2002,index,0.05
2003,index,0.09
2004,index,0.11
2005,index,0.11
2006,index,0.08
2007,index,0.1
2008,index,0.12
2009,index,0.1
2010,index,0.09
2011,index,0.08
2012,index,0.09
2013,index,0.07
2014,index,0.06
2015,index,0.08
2016,index,0.16
2017,index,0.18
2018,index,0.14
2019,index,0.19
2020,index,0.16
2021,index,0.23
2022,index,0.24
