Year,Units,Category,Value
2012,percent,ore and stone extraction,6
2013,percent,ore and stone extraction,11
2014,percent,ore and stone extraction,12
2015,percent,ore and stone extraction,9
2012,percent,manufacturing industry,42
2013,percent,manufacturing industry,41
2014,percent,manufacturing industry,40
2015,percent,manufacturing industry,45
2012,percent,"electricity, gas, steam and air conditioning supply",1
2013,percent,"electricity, gas, steam and air conditioning supply",0
2014,percent,"electricity, gas, steam and air conditioning supply",0
2015,percent,"electricity, gas, steam and air conditioning supply",1
2012,percent,"water supply, waste water management, control of waste removal processes and similar activities",14
2013,percent,"water supply, waste water management, control of waste removal processes and similar activities",12
2014,percent,"water supply, waste water management, control of waste removal processes and similar activities",13
2015,percent,"water supply, waste water management, control of waste removal processes and similar activities",14
