Year,Units,Age,Category,Value
2016,percent,adult,Using spread sheet software,36.3
2017,percent,youth,Using spread sheet software,44.4
2017,percent,adult,Using spread sheet software,32.4
2018,percent,youth,Using spread sheet software,53.4
2018,percent,adult,Using spread sheet software,34.2
2019,percent,youth,Using spread sheet software,51.9
2019,percent,adult,Using spread sheet software,37.5
2020,percent,youth,Using spread sheet software,58.1
2020,percent,adult,Using spread sheet software,38.4
2021,percent,youth,Using spread sheet software,54.7
2021,percent,adult,Using spread sheet software,40.2
2022,percent,youth,Using spread sheet software,46.8
2022,percent,adult,Using spread sheet software,40.3
2023,percent,youth,Using spread sheet software,47.2
2023,percent,adult,Using spread sheet software,41.3
2015,percent,youth,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",20.6
2015,percent,adult,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",13.4
2016,percent,youth,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",29.0
2016,percent,adult,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",22.4
2017,percent,youth,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",29.8
2017,percent,adult,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",16.1
2018,percent,youth,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",37.0
2018,percent,adult,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",21.1
2019,percent,youth,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",57.7
2019,percent,adult,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",26.6
2020,percent,youth,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",41.7
2020,percent,adult,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",23.3
2021,percent,youth,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",38.6
2021,percent,adult,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",22.6
2022,percent,youth,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",35.4
2022,percent,adult,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",22.2
2023,percent,youth,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",28.8
2023,percent,adult,"Using advanced functions of spread sheet software to organise and analyse data, such as sorting, filtering, using formulas, creating charts",23.4
2015,percent,youth,"Using software to edit photos, video or audio files",40.9
2015,percent,adult,"Using software to edit photos, video or audio files",22.6
2016,percent,youth,"Using software to edit photos, video or audio files",31.0
2016,percent,adult,"Using software to edit photos, video or audio files",19.8
