Year,Units,Category,Value
2010,tonnes_per_hectare,15_2_1_cat_1,96.9
2015,tonnes_per_hectare,15_2_1_cat_1,96.9
2016,tonnes_per_hectare,15_2_1_cat_1,96.9
2017,tonnes_per_hectare,15_2_1_cat_1,96.9
2018,tonnes_per_hectare,15_2_1_cat_1,96.9
2019,tonnes_per_hectare,15_2_1_cat_1,96.9
2020,tonnes_per_hectare,15_2_1_cat_1,96.9
2010,%,15_2_1_cat_2,2.8
2020,%,15_2_1_cat_2,0.0
2010,%,15_2_1_cat_3,36.8
2015,%,15_2_1_cat_3,36.8
2016,%,15_2_1_cat_3,36.8
2017,%,15_2_1_cat_3,36.8
2018,%,15_2_1_cat_3,36.8
2019,%,15_2_1_cat_3,36.8
2020,%,15_2_1_cat_3,36.8
2010,%,15_2_1_cat_4,10.2
2015,%,15_2_1_cat_4,10.2
2016,%,15_2_1_cat_4,10.2
2017,%,15_2_1_cat_4,10.2
2018,%,15_2_1_cat_4,10.2
2019,%,15_2_1_cat_4,10.2
2020,%,15_2_1_cat_4,10.2
