Year,Units,Category,Value
2011,kg per USD (constant 2015 prices),DMC per unit of GDP,1.8
2012,kg per USD (constant 2015 prices),DMC per unit of GDP,1.8
2013,kg per USD (constant 2015 prices),DMC per unit of GDP,1.7
2014,kg per USD (constant 2015 prices),DMC per unit of GDP,1.7
2015,kg per USD (constant 2015 prices),DMC per unit of GDP,1.6
2016,kg per USD (constant 2015 prices),DMC per unit of GDP,1.5
2017,kg per USD (constant 2015 prices),DMC per unit of GDP,2.2
2018,kg per USD (constant 2015 prices),DMC per unit of GDP,2.4
2019,kg per USD (constant 2015 prices),DMC per unit of GDP,2.3
2020,kg per USD (constant 2015 prices),DMC per unit of GDP,2.7
2021,kg per USD (constant 2015 prices),DMC per unit of GDP,2.5
2022,kg per USD (constant 2015 prices),DMC per unit of GDP,2.4
2023,kg per USD (constant 2015 prices),DMC per unit of GDP,2.3
2024,kg per USD (constant 2015 prices),DMC per unit of GDP,2.3
2011,tonnes,DMC per capita,12.8701
2012,tonnes,DMC per capita,12.5426
2013,tonnes,DMC per capita,12.066
2014,tonnes,DMC per capita,12.7135
2015,tonnes,DMC per capita,12.3694
2016,tonnes,DMC per capita,11.7088
2017,tonnes,DMC per capita,17.7078
2018,tonnes,DMC per capita,20.9139
2019,tonnes,DMC per capita,20.7276
2020,tonnes,DMC per capita,20.6967
2021,tonnes,DMC per capita,21.7671
2022,tonnes,DMC per capita,22.1741
2023,tonnes,DMC per capita,22.217
2024,tonnes,DMC per capita,22.7535
