Year,Units,Value
2010,percent,19.6
2011,percent,16.3
2012,percent,16.9
2013,percent,17.8
2014,percent,17.7
2015,percent,19.1
2016,percent,18.4
2017,percent,16.7
2018,percent,16.2
2019,percent,17.3
2020,percent,21.1
2021,percent,20.2
2022,percent,20.0
2023,percent,17.3
2024,percent,14.2
