Year,Units,Value
2010,millions USD (2021),0.80221
2011,millions USD (2021),0.18067
2012,millions USD (2021),0.282
2013,millions USD (2021),0.20924
2014,millions USD (2021),-0.05129
2015,millions USD (2021),-0.39947
2016,millions USD (2021),0.76361
2017,millions USD (2021),-0.43349
2018,millions USD (2021),-0.294
2019,millions USD (2021),-0.28496
2020,millions USD (2021),1.62194
2021,millions USD (2021),12.78767
2022,millions USD (2021),4.80833
