Year,Units,Location,Value
2008,percent,,8.6
2009,percent,,8.6
2010,percent,,8.6
2011,percent,,8.5
2012,percent,,8.4
2013,percent,,8.3
2014,percent,,8.2
2015,percent,,8.2
2016,percent,,8.2
2017,percent,,8.2
2018,percent,,7.2
2018,percent,Roma settlements,20.8
2019,percent,,8.3
2020,percent,,8.3
2021,percent,,8.3
2022,percent,,8.2
