Year,Units,Category,Value
2008,%,managerial positions,23.0
2009,%,managerial positions,25.0
2010,%,managerial positions,30.0
2011,%,managerial positions,31.0
2012,%,managerial positions,27.0
2013,%,managerial positions,25.0
2014,%,managerial positions,27.0
2015,%,managerial positions,22.0
2016,%,managerial positions,29.0
2017,%,managerial positions,22.0
2018,%,managerial positions,29.0
2019,%,managerial positions,36.0
2020,%,managerial positions,32.0
2011,%,senior and middle management positions,35.7
2012,%,senior and middle management positions,23.3
2013,%,senior and middle management positions,22.6
2014,%,senior and middle management positions,24.6
2015,%,senior and middle management positions,17.6
2016,%,senior and middle management positions,24.9
2017,%,senior and middle management positions,25.4
2018,%,senior and middle management positions,23.8
2019,%,senior and middle management positions,28.2
2020,%,senior and middle management positions,25.3
