Year,Units,Value
2008,millions USD (2020),3.83
2009,millions USD (2020),7.03
2010,millions USD (2020),0.02
2011,millions USD (2020),0.19
2012,millions USD (2020),13.3
2013,millions USD (2020),5.71
2014,millions USD (2020),0.84
2015,millions USD (2020),0.33
2016,millions USD (2020),20.6
2017,millions USD (2020),7.23
2019,millions USD (2020),35.11
2020,millions USD (2020),0.2
2021,millions USD (2020),22.7
