Year,Units,Value
2010,Index,1.4
2011,Index,0.56
2012,Index,0.56
2013,Index,0.57
2014,Index,0.12
2015,Index,0.61
2016,Index,-0.14
2017,Index,-0.26
2018,Index,-0.58
2019,Index,1.25
2020,Index,0.75
2021,Index,0.43
2022,Index,3.35
