Year,Units,Sex,Value
2000,percent,Both 'sexes',20.8
2000,percent,Female,11.2
2000,percent,Male,30.7
2005,percent,Both 'sexes',21.7
2005,percent,Female,11.1
2005,percent,Male,32.7
2010,percent,Both 'sexes',20.3
2010,percent,Male,30.4
2010,percent,Female,10.5
2015,percent,Both 'sexes',20.7
2015,percent,Female,10.9
2015,percent,Male,30.7
2019,percent,Both 'sexes',21.0
2019,percent,Female,10.4
2019,percent,Male,31.7
2021,percent,Both 'sexes',11.3
2022,percent,Both 'sexes',7.69
