Year,Units,Category,Value
2010,thousand tons,total,4813
2011,thousand tons,total,4048
2012,thousand tons,total,2310
2013,thousand tons,total,3029
2014,thousand tons,total,2784
2015,thousand tons,total,3245
2016,thousand tons,total,3894
2017,thousand tons,total,4539
2018,thousand tons,total,3741
2019,thousand tons,total,4070
2020,thousand tons,total,3999
2021,thousand tons,total,3650
2022,thousand tons,total,5151
2010,thousand tons,railway traffic,1213
2011,thousand tons,railway traffic,1050
2012,thousand tons,railway traffic,683
2013,thousand tons,railway traffic,1049
2014,thousand tons,railway traffic,903
2015,thousand tons,railway traffic,988
2016,thousand tons,railway traffic,1395
2017,thousand tons,railway traffic,1603
2018,thousand tons,railway traffic,967
2019,thousand tons,railway traffic,1132
2020,thousand tons,railway traffic,1154
2021,thousand tons,railway traffic,943
2022,thousand tons,railway traffic,1346
2010,thousand tons,road traffic,1839
2011,thousand tons,road traffic,1247
2012,thousand tons,road traffic,398
2013,thousand tons,road traffic,684
2014,thousand tons,road traffic,639
2015,thousand tons,road traffic,768
2016,thousand tons,road traffic,852
2017,thousand tons,road traffic,839
2018,thousand tons,road traffic,810
2019,thousand tons,road traffic,886
2020,thousand tons,road traffic,800
2021,thousand tons,road traffic,847
2022,thousand tons,road traffic,875
2010,thousand tons,air traffic,2
2011,thousand tons,air traffic,1
2012,thousand tons,air traffic,1
2013,thousand tons,air traffic,1
2014,thousand tons,air traffic,1
2015,thousand tons,air traffic,1
2016,thousand tons,air traffic,1
2017,thousand tons,air traffic,1
2018,thousand tons,air traffic,1
2019,thousand tons,air traffic,1
2020,thousand tons,air traffic,1
2021,thousand tons,air traffic,1
2022,thousand tons,air traffic,1
2010,thousand tons,maritime traffic,1759
2011,thousand tons,maritime traffic,1750
2012,thousand tons,maritime traffic,1228
2013,thousand tons,maritime traffic,1295
2014,thousand tons,maritime traffic,1241
2015,thousand tons,maritime traffic,1488
2016,thousand tons,maritime traffic,1646
2017,thousand tons,maritime traffic,2096
2018,thousand tons,maritime traffic,1963
2019,thousand tons,maritime traffic,2051
2020,thousand tons,maritime traffic,2044
2021,thousand tons,maritime traffic,1859
2022,thousand tons,maritime traffic,2929
2023,thousand tons,total,4486
2023,thousand tons,railway traffic,1114
2023,thousand tons,road traffic,961
2023,thousand tons,air traffic,1
2023,thousand tons,maritime traffic,2410
2024,thousand tons,total,4484
2024,thousand tons,railway traffic,1000
2024,thousand tons,road traffic,1019
2024,thousand tons,air traffic,1
2024,thousand tons,maritime traffic,2464
2020,thousand passengers,railway traffic,473
2021,thousand passengers,railway traffic,555
2022,thousand passengers,railway traffic,778
2023,thousand passengers,railway traffic,853
2024,thousand passengers,railway traffic,864
2020,thousand passengers,road traffic,2697
2021,thousand passengers,road traffic,3754
2022,thousand passengers,road traffic,5831
2023,thousand passengers,road traffic,6320
2024,thousand passengers,road traffic,7050
2020,thousand passengers,air traffic,522
2021,thousand passengers,air traffic,1309
2022,thousand passengers,air traffic,1909
2023,thousand passengers,air traffic,2493
2024,thousand passengers,air traffic,2872
2020,thousand passengers,local road traffic,695
2021,thousand passengers,local road traffic,978
2022,thousand passengers,local road traffic,1298
2023,thousand passengers,local road traffic,1607
2024,thousand passengers,local road traffic,2402
