Year,Units,Value
2010,total infected,21.0
2011,total infected,23.0
2012,total infected,24.0
2013,total infected,25.0
2014,total infected,26.0
2015,total infected,27.0
2016,total infected,28.0
2017,total infected,29.0
2018,total infected,29.0
2019,total infected,30.0
2020,total infected,30.0
2021,total infected,30.0
2022,total infected,31.0
2023,total infected,33.0
2024,total infected,34.0
2010,per 1000 uninfected population,0.03
2011,per 1000 uninfected population,0.04
2012,per 1000 uninfected population,0.04
2013,per 1000 uninfected population,0.04
2014,per 1000 uninfected population,0.04
2015,per 1000 uninfected population,0.04
2016,per 1000 uninfected population,0.05
2017,per 1000 uninfected population,0.05
2018,per 1000 uninfected population,0.05
2019,per 1000 uninfected population,0.05
2020,per 1000 uninfected population,0.05
2021,per 1000 uninfected population,0.05
2022,per 1000 uninfected population,0.05
2023,per 1000 uninfected population,0.05
2024,per 1000 uninfected population,0.05
