Year,Units,Value
2008,millions_constant_usd_2020,3.83
2009,millions_constant_usd_2020,7.03
2010,millions_constant_usd_2020,0.02
2011,millions_constant_usd_2020,0.19
2012,millions_constant_usd_2020,13.3
2013,millions_constant_usd_2020,5.71
2014,millions_constant_usd_2020,0.84
2015,millions_constant_usd_2020,0.33
2016,millions_constant_usd_2020,20.6
2017,millions_constant_usd_2020,7.23
2019,millions_constant_usd_2020,35.11
2020,millions_constant_usd_2020,0.2
2021,millions_constant_usd_2020,22.7
