Year,Units,Sex,Value
2000,percent,Male,30.5
2000,percent,Both 'sexes',24.8
2000,percent,FEMale,19.3
2005,percent,FEMale,19.0
2005,percent,Male,32.9
2005,percent,Both 'sexes',25.8
2010,percent,Both 'sexes',23.6
2010,percent,FEMale,17.9
2010,percent,Male,29.7
2015,percent,Both 'sexes',22.8
2015,percent,FEMale,16.7
2015,percent,Male,29.0
2019,percent,FEMale,16.0
2019,percent,Male,28.6
2019,percent,Both 'sexes',22.3
