Year,Units,Category,Value
2008,%,clean_tech_cat_5,77.0
2009,%,clean_tech_cat_5,42.0
2010,%,clean_tech_cat_5,75.0
2011,%,clean_tech_cat_5,74.0
2012,%,clean_tech_cat_5,74.0
2013,%,clean_tech_cat_5,73.0
2014,%,clean_tech_cat_5,73.0
2015,%,clean_tech_cat_5,42.0
2016,%,clean_tech_cat_5,72.0
2017,%,clean_tech_cat_5,62.0
2018,%,clean_tech_cat_1,63.8
2018,%,clean_tech_cat_2,29.7
2018,%,clean_tech_cat_3,99.6
2018,%,clean_tech_cat_4,28.0
2018,%,clean_tech_cat_5,42.0
2019,%,clean_tech_cat_5,71.0
2020,%,clean_tech_cat_5,62.0
2021,%,clean_tech_cat_5,62.0
2000,%,rural,45.1
2000,%,allarea,67.1
2000,%,urban,83.1
2001,%,allarea,67.4
2001,%,urban,82.6
2001,%,rural,44.9
2002,%,rural,44.4
2002,%,urban,82.0
2002,%,allarea,66.9
2003,%,allarea,66.8
2003,%,rural,43.6
2003,%,urban,81.3
2004,%,urban,80.7
2004,%,rural,43.6
2004,%,allarea,66.3
2005,%,urban,79.5
2005,%,rural,43.1
2005,%,allarea,65.8
2006,%,urban,78.7
2006,%,rural,42.5
2006,%,allarea,65.45
2007,%,urban,77.7
2007,%,rural,42.3
2007,%,allarea,64.8
2008,%,urban,77.0
2008,%,rural,41.4
2008,%,allarea,64.2
2009,%,urban,75.8
2009,%,rural,41.5
2009,%,allarea,63.65
2010,%,urban,75.0
2010,%,allarea,63.0
2010,%,rural,41.5
2011,%,allarea,62.8
2011,%,urban,74.3
2011,%,rural,41.15
2012,%,allarea,62.2
2012,%,urban,73.5
2012,%,rural,41.1
2013,%,urban,73.0
2013,%,rural,41.1
2013,%,allarea,61.9
2014,%,urban,72.3
2014,%,rural,41.2
2014,%,allarea,61.8
2015,%,rural,41.4
2015,%,urban,72.2
2015,%,allarea,61.4
2016,%,rural,41.7
2016,%,urban,71.6
2016,%,allarea,61.6
2017,%,rural,42.3
2017,%,allarea,61.6
2017,%,urban,71.6
2018,%,urban,71.2
2018,%,rural,42.7
2018,%,allarea,61.75
2019,%,allarea,61.85
2019,%,urban,71.2
2019,%,rural,43.0
2020,%,allarea,62.1
2020,%,urban,71.3
2020,%,rural,43.8
2021,%,rural,44.0
2021,%,allarea,62.3
2021,%,urban,71.1
2022,%,rural,44.7
2022,%,allarea,62.6
2022,%,urban,71.5
